Comment,Designator,Footprint,LCSC
"1uF/10V","C1","Capacitor_SMD:C_0805_2012Metric","C1779"
"330uF/6.3V","C2,C4","Capacitor_Tantalum_SMD:CP_EIA-3528-15_AVX-H","C16133"
"1uF","C3,C5","Capacitor_SMD:C_0805_2012Metric","C1779"
"LED","D1","LED_SMD:LED_0805_2012Metric","C2296"
"1N5820/SS34","D2","Diode_SMD:D_SMA","C8678"
"ZMM5V6","D3","Diode_SMD:D_MiniMELF","C8062"
"Conn_01x04","FAN1,FAN2,FAN3,FAN4","Connector:FanPinHeader_1x04_P2.54mm_Vertical",""
"MountingHole","H1,H2,H3,H4","MountingHole:MountingHole_3.2mm_M3_Pad_Via",""
"XL1509-ADJE1","IC1","CSE:SOIC127P600X175-8N","C74192"
"Conn_01x02_Female","J1","Connector_BarrelJack:BarrelJack_CUI_PJ-102AH_Horizontal",""
"Conn_01x06","J2","Connector_PinHeader_2.54mm:PinHeader_1x06_P2.54mm_Vertical",""
"Conn_01x10","J3","Connector_PinSocket_2.54mm:PinSocket_1x10_P2.54mm_Vertical",""
"33uH","L1","Inductor_SMD:L_TDK_SLF7045","C13754"
"AO3401A","Q1","Package_TO_SOT_SMD:SOT-23","C15127"
"4k7","R1","Resistor_SMD:R_0805_2012Metric","C17673"
"100R","R3,R4,R8,R10,R12","Resistor_SMD:R_0805_2012Metric","C17408"
"1k","R2","Resistor_SMD:R_0805_2012Metric","C17513"
"2k7","R20","Resistor_SMD:R_0805_2012Metric","C17530"
"1k6","R21","Resistor_SMD:R_0805_2012Metric","C17394"
"10k","R5,R6,R7,R9,R11","Resistor_SMD:R_0805_2012Metric","C17414"
"ESP32-WROOM-E","U1","espressif:ESP32-WROOM-32E","C701341"
